Node 1: {'crdb': 127, 'etcd': 63}, Total time: 633.5min / 10.56hr / 09-15 23:51 -> 09-16 10:24
Node 2: {'crdb': 127, 'etcd': 63}, Total time: 633.5min / 10.56hr / 09-15 23:51 -> 09-16 10:24
Node 3: {'crdb': 127, 'etcd': 63}, Total time: 633.5min / 10.56hr / 09-15 23:51 -> 09-16 10:24
Node 4: {'crdb': 127, 'etcd': 63}, Total time: 633.5min / 10.56hr / 09-15 23:51 -> 09-16 10:24
Node 5: {'crdb': 127, 'etcd': 63}, Total time: 633.5min / 10.56hr / 09-15 23:51 -> 09-16 10:24
Node 6: {'crdb': 127, 'etcd': 63}, Total time: 633.5min / 10.56hr / 09-15 23:51 -> 09-16 10:24
Node 7: {'crdb': 127, 'etcd': 63}, Total time: 633.5min / 10.56hr / 09-15 23:51 -> 09-16 10:24
Node 8: {'crdb': 127, 'etcd': 63}, Total time: 633.5min / 10.56hr / 09-15 23:51 -> 09-16 10:24
Node 9: {'crdb': 127, 'etcd': 63}, Total time: 633.5min / 10.56hr / 09-15 23:51 -> 09-16 10:24
Node 10: {'crdb': 127, 'etcd': 63}, Total time: 633.5min / 10.56hr / 09-15 23:51 -> 09-16 10:24
Node 11: {'crdb': 127, 'etcd': 63}, Total time: 633.5min / 10.56hr / 09-15 23:51 -> 09-16 10:24
Node 12: {'crdb': 127, 'etcd': 63}, Total time: 633.5min / 10.56hr / 09-15 23:51 -> 09-16 10:24
Node 13: {'crdb': 126, 'etcd': 64}, Total time: 633.0min / 10.55hr / 09-15 23:51 -> 09-16 10:24
Node 14: {'crdb': 126, 'etcd': 64}, Total time: 633.0min / 10.55hr / 09-15 23:51 -> 09-16 10:24
Node 15: {'crdb': 126, 'etcd': 64}, Total time: 633.0min / 10.55hr / 09-15 23:51 -> 09-16 10:24
Node 16: {'crdb': 126, 'etcd': 64}, Total time: 633.0min / 10.55hr / 09-15 23:51 -> 09-16 10:24
Node 17: {'crdb': 126, 'etcd': 64}, Total time: 633.0min / 10.55hr / 09-15 23:51 -> 09-16 10:24
Node 18: {'crdb': 126, 'etcd': 64}, Total time: 633.0min / 10.55hr / 09-15 23:51 -> 09-16 10:24
