Node 1: {'cass': 23, 'crdb': 45, 'etcd': 23, 'hbase': 23, 'kafka': 22}, Total time: 563.6min / 9.39hr / 09-02 15:36 -> 09-03 00:59
Node 2: {'cass': 23, 'crdb': 45, 'etcd': 23, 'hbase': 23, 'kafka': 22}, Total time: 563.6min / 9.39hr / 09-02 15:36 -> 09-03 00:59
Node 3: {'cass': 23, 'crdb': 45, 'etcd': 23, 'hbase': 23, 'kafka': 22}, Total time: 563.6min / 9.39hr / 09-02 15:36 -> 09-03 00:59
Node 4: {'cass': 23, 'crdb': 45, 'etcd': 23, 'hbase': 23, 'kafka': 22}, Total time: 563.6min / 9.39hr / 09-02 15:36 -> 09-03 00:59
Node 5: {'cass': 23, 'crdb': 45, 'etcd': 23, 'hbase': 23, 'kafka': 22}, Total time: 563.6min / 9.39hr / 09-02 15:36 -> 09-03 00:59
Node 6: {'cass': 23, 'crdb': 45, 'etcd': 23, 'hbase': 23, 'kafka': 22}, Total time: 563.6min / 9.39hr / 09-02 15:36 -> 09-03 00:59
Node 7: {'cass': 23, 'crdb': 45, 'etcd': 23, 'hbase': 23, 'kafka': 22}, Total time: 563.6min / 9.39hr / 09-02 15:36 -> 09-03 00:59
Node 8: {'cass': 23, 'crdb': 45, 'etcd': 23, 'hbase': 23, 'kafka': 22}, Total time: 563.6min / 9.39hr / 09-02 15:36 -> 09-03 00:59
Node 9: {'cass': 23, 'crdb': 45, 'etcd': 23, 'hbase': 23, 'kafka': 22}, Total time: 563.6min / 9.39hr / 09-02 15:36 -> 09-03 00:59
Node 10: {'cass': 23, 'crdb': 45, 'etcd': 23, 'hbase': 23, 'kafka': 22}, Total time: 563.6min / 9.39hr / 09-02 15:36 -> 09-03 00:59
Node 11: {'cass': 23, 'crdb': 45, 'etcd': 23, 'hbase': 23, 'kafka': 22}, Total time: 563.6min / 9.39hr / 09-02 15:36 -> 09-03 00:59
Node 12: {'cass': 23, 'crdb': 45, 'etcd': 23, 'hbase': 23, 'kafka': 22}, Total time: 563.6min / 9.39hr / 09-02 15:36 -> 09-03 00:59
Node 13: {'cass': 23, 'crdb': 45, 'etcd': 23, 'hbase': 23, 'kafka': 22}, Total time: 563.6min / 9.39hr / 09-02 15:36 -> 09-03 00:59
Node 14: {'cass': 23, 'crdb': 45, 'etcd': 23, 'hbase': 23, 'kafka': 22}, Total time: 563.6min / 9.39hr / 09-02 15:36 -> 09-03 00:59
Node 15: {'cass': 23, 'crdb': 45, 'etcd': 23, 'hbase': 22, 'kafka': 24}, Total time: 565.7min / 9.43hr / 09-02 15:36 -> 09-03 01:01
Node 16: {'cass': 23, 'crdb': 45, 'etcd': 23, 'hbase': 22, 'kafka': 24}, Total time: 565.7min / 9.43hr / 09-02 15:36 -> 09-03 01:01
Node 17: {'cass': 22, 'crdb': 47, 'etcd': 22, 'hbase': 22, 'kafka': 24}, Total time: 562.7min / 9.38hr / 09-02 15:36 -> 09-03 00:58
Node 18: {'cass': 22, 'crdb': 47, 'etcd': 22, 'hbase': 22, 'kafka': 24}, Total time: 562.7min / 9.38hr / 09-02 15:36 -> 09-03 00:58
Node 19: {'cass': 22, 'crdb': 47, 'etcd': 22, 'hbase': 22, 'kafka': 24}, Total time: 562.7min / 9.38hr / 09-02 15:36 -> 09-03 00:58
Node 20: {'cass': 22, 'crdb': 47, 'etcd': 22, 'hbase': 22, 'kafka': 24}, Total time: 562.7min / 9.38hr / 09-02 15:36 -> 09-03 00:58
Node 21: {'cass': 22, 'crdb': 46, 'etcd': 22, 'hbase': 23, 'kafka': 24}, Total time: 563.7min / 9.40hr / 09-02 15:36 -> 09-03 00:59
Node 22: {'cass': 22, 'crdb': 46, 'etcd': 22, 'hbase': 23, 'kafka': 24}, Total time: 563.7min / 9.40hr / 09-02 15:36 -> 09-03 00:59
